ResponseId,open.question,rep.supp,dem.supp,elite,bipart,jcs,state,regime,trade,shared.threat,cost,conditions,defense.coop,mil.coop,region,cap,issue.link,none,age,gender,hhi,ethnicity,hispanic,education,political_party,us.region,zip,Q11,Q18,Q1,Q6,Q3,Q4,Q4_DO,Q4,Q5,Q7
R_12nxEEYCLoE05rU,My most important factor is that all countries should work together.,,,,,,,,,,,,,,,,,1,58,2,1,1,1,4,2,3,33410,Retail Trade,No,Somewhat disagree,Somewhat agree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Neither agree nor disagree
R_3G7FKklAbNKOqRG,joint chiefs opinion,,,,,1,,,,,,,,,,,,,68,1,13,1,1,6,5,2,43440,"Arts, entertainment & recreation",No,Strongly agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Strongly agree
R_Z4atKCqhuTmAEa5,better,,,,,,,,,,,,,,,,,1,39,2,20,1,1,7,1,1,10567,Construction,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Somewhat agree
R_2BbAGuwVBbbOrE6,Reliability,,,,,,,,,,,,,,,,,1,26,2,10,1,1,3,9,1,2115,Utilities,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,Very many.,Strongly agree
R_10wumBfkU0RKk6n,I don’t know ,,,,,,,,,,,,,,,,,1,42,2,7,1,1,2,4,3,79763,Educational Services,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Neither agree nor disagree
R_32LPO8SHASOHKiM,okk,,,,,,,,,,,,,,,,,1,56,2,5,1,16,5,1,3,32738,Real Estate,Yes,Somewhat agree,Strongly agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Some.,Somewhat agree
R_cRQG2I6tMKnMqm5,Much needed to protect each other,,,,,,,,,,,,,,,,,1,33,2,9,2,1,4,1,3,21228,Accommodation and food services,No,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat agree
R_e2IvDqFWFMBNB7z,Quality ,,,,,,,,,,,,,,,,,1,32,2,14,1,1,7,1,1,10038,"Administration, support, and waste management",,Somewhat agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_2qlOthaEuvJT9wM,No idea,,,,,,,,,,,,,,,,,1,24,2,6,1,1,2,10,4,85629,Health care and social assistance,No,Somewhat agree,Strongly disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Very many.,Neither agree nor disagree
R_undgOe6niDSynnj,"It is very important for the US to support alliances with other counries; however, we need to be cautious.",,,,,,,,,,,,,,,,,1,74,2,14,1,1,7,10,1,10028,Information and Telecommunications,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,,Somewhat disagree
R_1pEEt7yJG9NxEx4,What your of the five,,,,,,,,,,,,,,,,,1,62,2,4,2,3,1,1,3,33015,"Manufacturing - food, textile, apparel",Yes,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_2EF6JQv8lN9aJfK,,,,,,,,,,,,,,,,,,1,29,2,21,1,1,7,10,3,13205,Information and Telecommunications,Yes,Strongly agree,Strongly agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Strongly agree
R_6eWM6JGAjKzp1Bf,yes to the military,,,,,1,,,,,,,,,,,,,29,2,4,1,1,2,5,2,60629,"Professional, scientific, and technical services",No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Very many.,Neither agree nor disagree
R_WrMwZYJdbMmf2WR,I don't know,,,,,,,,,,,,,,,,,1,46,2,1,1,1,2,5,3,42544,Wholesale trade,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,None.,Neither agree nor disagree
R_2b45Y1lur7i3Pq5,A little bit of give and take,,,,,,,,,,,,,,,,,1,30,2,5,1,2,2,2,4,93656,Retail Trade,No,Strongly disagree,Strongly agree,Somewhat disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Neither agree nor disagree
R_1mjW3RuBJXsdSq0,No,,,,,,,,,,,,,,,,,1,37,2,9,1,1,4,5,1,15748,Health care and social assistance,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Neither agree nor disagree
R_3n3s0cbDGYUsQMz,Allies ,,,,,,,,,,,,,,,,,1,29,2,12,4,1,7,1,1,8867,Educational Services,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Somewhat agree
R_1dsQjlhmf9AE2PR,Contributions ,,,,,,,,,,,,,,,1,,,18,2,1,1,1,2,1,3,28344,Accommodation and food services,No,Somewhat agree,Somewhat agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Neither agree nor disagree
R_0TCzJjPNNap8WUF,None,,,,,,,,,,,,,,,,,1,42,2,8,4,1,6,1,4,95757,Educational Services,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,None.,Neither agree nor disagree
R_ULUlMVeD2mo16j7,How much it will cost.,,,,,,,,,,1,,,,,,,,43,2,15,1,1,6,7,2,57401,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Neither agree nor disagree
R_2bJHbEgjPR3nbLd,Democrat senate ,,1,,,,,,,,,,,,,,,,30,2,-3105,1,1,4,1,2,53218,Accommodation and food services,No,Strongly disagree,Strongly agree,Somewhat disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Not at all superior.,Some.,Somewhat agree
R_1rwPa4VP7l1jAwW,If they would support us,,,,,,,,,,,,,1,,,,,61,2,20,1,1,2,1,1,14224,,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Neither agree nor disagree
R_09hsFWWkZyyO7rX,Nothing ,,,,,,,,,,,,,,,,,1,19,2,2,3,1,2,2,3,77573,Health care and social assistance,No,Somewhat agree,Somewhat agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Somewhat agree
R_DvrbX3FozO9hCX7,Trust,,,,,,,,,,,,,,,,,1,25,2,3,1,1,2,2,3,32926,Accommodation and food services,No,Strongly agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Somewhat agree
R_3O7XQSCT7IRFaAQ,All Are informative ,,,,,,,,,,,,,,,,,1,35,2,14,1,1,7,2,1,11435,Information and Telecommunications,No,Somewhat agree,Somewhat agree,Somewhat agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Somewhat agree
R_cMTWFp1FNbaZcFX,Be,,,,,,,,,,,,,,,,,1,23,2,1,15,2,6,2,3,30157,Wholesale trade,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,A few.,Somewhat agree
R_2usNDlxxpWEp3Q8,That America shouldn’t resolve problems with War or Violence.,,,,,,,,,,,,,,,,,1,22,2,1,1,1,2,4,3,29445,"Manufacturing - machinery, electronics etc.",No,Strongly agree,Neither agree nor disagree,Strongly disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Somewhat agree
R_22ttYBKVSqHt8t5,Billions,,,,,,,,,,1,,,,,,,,46,2,19,1,1,6,4,3,37122,Accommodation and food services,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat disagree
R_1K6HAeR2VoSM8jr,,,,,,,,,,,,,,,,,,1,41,2,1,7,1,2,1,2,48135,,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_1dbQATHKFSNsFVK,I don’t know how much I love you so much lol I ,,,,,,,,,,,,,,,,,1,20,2,1,2,1,2,4,2,60620,Retail Trade,No,Strongly agree,Somewhat agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Somewhat agree
R_3GrhJxt47BSlyps,peace,,,,,,,,,,,,,,,,,1,76,1,1,1,1,2,2,3,32828,,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,None.,Somewhat disagree
R_10uEyoOFprSZfAg,Protection against others,,,,,,,,,,,,,,,,,1,24,2,2,1,1,4,10,2,46723,Health care and social assistance,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat disagree
R_AySaGpQl837Y1bj,It was a good plan.,,,,,,,,,,,,,,,,,1,18,2,4,2,4,4,1,3,23326,"Arts, entertainment & recreation",No,Somewhat disagree,Somewhat disagree,Strongly disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,None.,Strongly disagree
R_1E1g7OCzYUsRy8U,If it’s good,,,,,,,,,,,,,,,,,1,25,2,16,1,1,2,1,2,60463,"Arts, entertainment & recreation",No,Strongly disagree,Strongly agree,Strongly disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Strongly agree
R_2wtzw9FPUnI6XWE,Their requirement includes us support,,,,,,,,,,,,,1,,,,,66,2,9,7,1,7,5,2,46214,"Professional, scientific, and technical services",No,Neither agree nor disagree,Strongly agree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,A few.,Strongly agree
R_sHTvgd2S5RPQO65,Bettering the usa,,,,,,,,,,,,,,,,,1,35,2,9,1,16,2,1,1,7095,Health care and social assistance,No,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Neither agree nor disagree
R_3irFNr6JGJtFrwa,Google ,,,,,,,,,,,,,,,,,1,42,2,1,2,1,2,1,3,29407,Health care and social assistance,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Neither agree nor disagree
R_1MPNe6nDwkSF1UM,"Whether the secretary of state was for or against it, also how great the threat to the USA was ",,,,,,1,,,1,,,,,,,,,66,2,12,1,1,6,2,3,33954,,No,Strongly agree,Strongly disagree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Strongly disagree
R_3ISJpp0ynVuhnq2,U,,,,,,,,,,,,,,,,,1,37,1,24,1,2,6,8,4,97068,Construction,No,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Somewhat agree
R_2X7Bze5ktvmp4KA,We can ally the other countries,,,,,,,,,,,,,,,,,1,23,2,1,4,1,6,1,1,7206,Real Estate,No,Somewhat agree,Somewhat agree,Strongly agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Somewhat agree
R_PtkBJcyCUgGauvD,Things we have in common,,,,,,,,,1,,,,,,,,,19,2,10,16,15,2,4,3,77388,Health care and social assistance,No,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Somewhat disagree
R_3oKENmcXYnvOOor,The reason for the alliance and shared threats. ,,,,,,,,,1,,,,,,,,,19,2,-3105,1,1,4,3,4,99518,Educational Services,No,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,Very many.,Strongly disagree
R_2aaZnrk8F7ghXQl,Peace and money,,,,,,,,,,1,,,,,,,,21,2,5,1,1,6,5,1,17255,Educational Services,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,A few.,Neither agree nor disagree
R_2B5KARPcpyKInAU,Its do good and helpful ,,,,,,,,,,,,,,,,,1,35,2,6,4,1,6,1,1,10470,Information and Telecommunications,No,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Neither agree nor disagree
R_2rwqHY3pDJPy774,shared interest in trade,,,,,,,,1,1,,,,,,,,,46,2,19,2,1,2,2,1,10039,"Manufacturing - food, textile, apparel",Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat agree
R_9yrgoxycm9DNAYh,Agreement between democratic armies,,,,,,,1,,,,,,,,,,,37,2,21,1,1,6,1,1,6105,Information and Telecommunications,No,Strongly agree,Somewhat agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,A few.,Neither agree nor disagree
R_1LbNEIArrrXAmua,2,,,,,,,,,,,,,,,,,1,42,1,14,1,1,7,1,2,63901,Information and Telecommunications,No,Strongly agree,Somewhat agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Strongly agree
R_5oNGnLArb36hK49,I really don’t know what to say about this ,,,,,,,,,,,,,,,,,1,37,2,1,4,1,2,9,3,70458,Agriculture,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Neither agree nor disagree
R_3r1bUFxmnFqdyCn,I'm not entirely sure,,,,,,,,,,,,,,,,,1,32,2,6,1,1,2,10,1,15640,Information and Telecommunications,No,Neither agree nor disagree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Neither agree nor disagree
R_2wpMcerfvQVKbhK,War,,,,,,,,,,,,,,,,,1,58,2,2,1,1,4,2,3,74127,Retail Trade,No,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Somewhat agree
R_6ipCU5JMMZqJtL3,Serving,,,,,,,,,,,,,,,,,1,51,2,5,1,1,6,1,4,91605,Real Estate,Yes,Somewhat agree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_29tCfF8daOK6wSP,Dont know,,,,,,,,,,,,,,,,,1,18,2,1,2,1,2,1,3,31705,Utilities,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat agree
R_1F3zA4HuO9rWvP8,Nothing,,,,,,,,,,,,,,,,,1,36,2,5,2,1,6,7,3,22031,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Somewhat agree
R_2VEZvpVtmjv73Aa,Support,,,,,,,,,,,,,,,,,1,35,2,8,15,1,6,4,4,85213,,No,Strongly agree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,A few.,Strongly disagree
